schema_version,fact_id,location_ref,state_or_territory,technology_code,committed_down_mbps,committed_up_mbps,period_start,period_end,download_mbps,upload_mbps,latency_ms_mean,download_tests_total,download_tests_meeting_threshold,upload_tests_total,upload_tests_meeting_threshold,latency_tests_total,latency_tests_at_or_below_100ms,uptime_pct,outage_hours_365d,measurement_method,device_class,sample_set_id,is_cai,provenance.source_org,provenance.collected_by,provenance.collected_at,provenance.tool,provenance.methodology_ref
0.1.0,b2395b1e-26b8-4fff-bcdd-fca370014527,BSL-100204010,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,308.5,46.5,12.2,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,base_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,3b6d36d6-08f2-45f5-86cc-19d7f2467724,BSL-100204011,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,317.8,45.9,10.6,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,25ff5776-bd3e-4ed8-a33d-c50b39434407,BSL-100204012,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,322.6,44.0,13.8,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,2726c42d-287e-407c-b924-54fd6e3c9737,BSL-100204013,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,328.6,44.1,10.7,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,120f2a50-0717-44c7-99a1-fd55b776ed19,BSL-100204014,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,318.3,38.1,9.3,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,0d976151-07a7-48c7-a222-39bb6202aaeb,BSL-100204015,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,332.5,39.2,15.7,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,base_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,1f76703b-2821-446c-acce-cef814f40841,BSL-100204016,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,333.1,46.7,15.4,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,601fcbb6-7eab-43b9-8a43-a5b9a8252d6f,BSL-100204017,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,309.9,46.3,13.4,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,eaffc9ea-e30a-4633-a48e-8d57fbb1c286,BSL-100204018,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,312.1,46.6,13.6,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,f3f22594-0cfa-4433-b294-efaf7a4835d0,BSL-100204019,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,297.2,42.8,10.2,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
